phase,B_x_mm,B_y_mm,B_z_mm
0.0,58.21222986654792,72.52825475931292,-1.6972534488957073e-13
0.013157894736842105,58.21222986654794,72.45835838376462,-2.3458531055097915
0.02631578947368421,58.212229866547936,72.02528868442538,-4.913165785388836
0.039473684210526314,58.21222986654793,71.23717164368534,-7.6932708730097
0.05263157894736842,58.21222986654794,70.10762521715347,-10.670530072439032
0.06578947368421052,58.21222986654796,68.6554416985074,-13.822061405159154
0.07894736842105263,58.21222986654795,66.90415721522129,-17.117716784876436
0.09210526315789473,58.21222986654796,64.88151953737496,-20.52032993460003
0.10526315789473684,58.21222986654796,62.61886796619993,-23.9862436284285
0.11842105263157894,58.21222986654793,60.15044128307037,-27.466112932730088
0.13157894736842105,58.212229866547936,57.51263152417496,-30.905968355586566
0.14473684210526316,58.21222986654792,54.74320265363721,-34.24851025264019
0.15789473684210525,58.21222986654795,51.88049400388942,-37.43459415286858
0.17105263157894737,58.212229866547936,48.962628616036056,-40.40485649986399
0.18421052631578946,58.21222986654794,46.0267463386012,-43.101422225871836
0.19736842105263158,58.21222986654794,43.108280738888176,-45.46963005883912
0.21052631578947367,58.21222986654794,40.24029757000187,-47.45970884928725
0.2236842105263158,58.21222986654792,37.452910754952526,-49.02833868573758
0.23684210526315788,58.21222986654794,34.77278964647737,-50.14003417347434
0.25,58.21222986654794,32.222768757967685,-50.768293844141006
0.2631578947368421,58.21222986654794,29.821568307596312,-50.89646894548314
0.27631578947368424,58.21222986654794,27.583630852634776,-50.518316389263475
0.2894736842105263,58.212229866547936,25.519076097922426,-49.63821384781776
0.3026315789473684,58.212229866547936,23.633772728784432,-48.271029232432674
0.3157894736842105,58.212229866547936,21.929522932664955,-46.441651351795606
0.32894736842105265,58.212229866547936,20.404352222211077,-44.18420271276172
0.34210526315789475,58.21222986654794,19.05289433859799,-41.54096848943006
0.35526315789473684,58.21222986654794,17.86685847456689,-38.56108701339923
0.3684210526315789,58.21222986654794,16.83556388084913,-35.299056188605306
0.3815789473684211,58.21222986654794,15.946525166247543,-31.813116594905743
0.39473684210526316,58.21222986654794,15.186070317889923,-28.163575449720838
0.40789473684210525,58.21222986654794,14.539972688399017,-24.411135941305112
0.42105263157894735,58.21222986654795,13.994077941440349,-20.615293789576455
0.4342105263157895,58.21222986654794,13.534907222417186,-16.83285744839734
0.4473684210526316,58.212229866547936,13.150218618530385,-13.116640498072233
0.4605263157894737,58.21222986654794,12.829510269239998,-9.514364970848355
0.47368421052631576,58.212229866547936,12.564450247895627,-6.067803179096849
0.4868421052631579,58.21222986654794,12.349220508792907,-2.8121737064391708
0.5,58.21222986654795,12.180764720676708,0.22420477280246354
0.5131578947368421,58.21222986654794,12.058932617574618,3.020009627661294
0.5263157894736842,58.21222986654794,11.986516512876692,5.5607784599450625
0.5394736842105263,58.21222986654794,11.969178759223734,7.8385681499938675
0.5526315789473685,58.21222986654793,12.015272108133937,9.851442256481592
0.5657894736842105,58.21222986654794,12.135558041535722,11.602824712261743
0.5789473684210527,58.21222986654794,12.342831126082613,13.100759842487873
0.5921052631578947,58.21222986654794,12.651460197714952,14.357118492268313
0.6052631578947368,58.21222986654794,13.076859641891891,15.386787663592179
0.618421052631579,58.212229866547936,13.634906125904877,16.20687682258614
0.631578947368421,58.212229866547936,14.341317805407606,16.83596834616659
0.6447368421052632,58.21222986654794,15.211014221103389,17.29343290203342
0.6578947368421053,58.21222986654794,16.25747578969508,17.598823408196456
0.6710526315789473,58.212229866547936,17.492121955849413,17.771354114630903
0.6842105263157895,58.212229866547936,18.92372670358523,17.82946477959456
0.6973684210526315,58.21222986654794,20.557889235250464,17.79046430716068
0.7105263157894737,58.212229866547936,22.39657623750841,17.67024391529834
0.7236842105263158,58.21222986654794,24.437750303599604,17.483047153082918
0.7368421052631579,58.21222986654794,26.67509681934688,17.241282998311867
0.75,58.21222986654794,29.097859008021405,16.955368833470352
0.7631578947368421,58.21222986654793,31.690787937043147,16.633592185463264
0.7763157894736842,58.21222986654794,34.43421119604186,16.28198347683889
0.7894736842105263,58.212229866547936,37.304220745147205,15.904196332965247
0.8026315789473685,58.21222986654794,40.27297719190688,15.501396810521731
0.8157894736842105,58.212229866547936,43.30912457327062,15.072167806824638
0.8289473684210527,58.21222986654794,46.37830668246374,14.612439417281907
0.8421052631578947,58.212229866547936,49.443773172290776,14.115459693893404
0.8552631578947368,58.21222986654794,52.46706116331997,13.571822740367189
0.868421052631579,58.21222986654794,55.4087359561543,12.969572060880896
0.881578947368421,58.21222986654795,58.22917275014858,12.29439636645734
0.8947368421052632,58.21222986654794,60.889360053348135,11.529932562459262
0.9078947368421053,58.21222986654793,63.35170476399516,10.658186448108873
0.9210526315789473,58.21222986654794,65.58081873265284,9.660075936941189
0.9342105263157895,58.21222986654795,67.54426698137509,8.516094656806256
0.9473684210526315,58.212229866547936,69.21325865330968,7.2070860118822875
0.9605263157894737,58.21222986654795,70.56326316922842,5.715109666968897
0.9736842105263158,58.21222986654795,71.57453593953095,4.0243744738831815
0.9868421052631579,58.21222986654792,72.23254027136154,2.1222046437332884
