evaluation,feasible,selected,search_score_mm,combined_rmse_mm,tip_rmse_mm,wrist_rmse_mm,bottleneck_rmse_mm,record_type,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
21151,True,False,1160.5153186806706,970.3829050753782,1172.709705695364,712.7677820250814,1172.709705695364,balanced_tested_sample,9.905857966679717,7.29299362404921,3.911602437314384,0.6186325441295598,-1.8837567652212714,0.3813659075148602,1.8308763710498837,4.6774884601678055,7.528640114284235,-2.025914726377007
24294,True,False,1184.4918618599895,986.6591658314338,1197.0264905161096,717.0217570206976,1197.0264905161096,balanced_tested_sample,10.536451586673865,4.826292829603741,2.785590361036277,0.1325835678493865,-3.3540863702288797,0.10700126641066729,2.084385822329027,3.042510185621076,7.3295186954196385,-1.7099297696037459
26920,True,False,1218.8424414906765,1011.4820192764303,1231.647225252405,727.4866755942004,1231.647225252405,balanced_tested_sample,9.69082105770795,6.901623543326382,2.752238615045944,0.5632595201044736,-0.7293347934591684,0.4667467621527474,0.567128228748492,4.211233659983601,5.57407065523144,-1.3339665527071847
29382,True,False,1221.5587037149537,1008.9670743922907,1234.4755279649205,715.6111271292582,1234.4755279649205,balanced_tested_sample,9.68442087206024,7.222749033214853,2.7846859560856356,0.52189384461366,-0.8014347834339342,0.5590757339867028,0.3857412000832834,4.229305252975331,5.948643070908336,-0.9878512495909927
31826,True,False,1140.3652861790106,952.3163134883891,1152.3626917855768,697.0458725599997,1152.3626917855768,balanced_tested_sample,9.740405637467244,6.995416927885867,3.596577625428737,0.5679268634661158,0.03622748802595335,1.4850958064480955,1.3024987211,4.502220062539894,6.140177731768785,-0.6924246917768991
33453,True,False,1014.5423430095598,856.1082538897815,1025.1235896385526,644.1772354895737,1025.1235896385526,balanced_tested_sample,10.526982166722096,2.391295384754868,0.4010884418798701,0.1297370916164893,-0.9215719302535577,4.234271809289431,1.09968835918769,0.7050892778450253,1.6502546780462481,-0.2536488752754613
34441,True,True,931.3186385853012,795.2687974188927,940.6633274229337,616.4879761502233,940.6633274229337,balanced_tested_sample,10.370663737232265,2.619513547854952,-0.12831214424193435,0.6248583214978769,-1.3994483204206385,4.143371820580571,1.0517847779250735,-0.15156374434929243,1.4122494080441745,0.3585006199703747
35327,True,False,1005.0399368252489,831.7168789050813,1015.2819940912258,593.8925877508186,1015.2819940912258,balanced_tested_sample,10.620353793839417,1.5268305824392023,0.6497061378522955,-0.539042174220136,-0.5138512833106079,4.175900967416783,0.9843610906614413,-0.32568158548698306,0.6251783315905349,-1.0675104475948414
36125,True,True,824.7698430308274,701.875237472573,832.6715645396547,540.2922945604953,832.6715645396547,balanced_tested_sample,10.101932503363008,1.858470172932641,0.6445183004442904,0.1347084773372539,-1.1091399034620246,3.4632955542198283,1.5112755774655273,0.4068292238770712,1.835901368469622,-1.0268490509552293
36955,True,True,925.8515136786453,782.5715365160609,935.2466439894492,591.7348514636342,935.2466439894492,balanced_tested_sample,12.085991586080402,2.085274570066689,1.1189461159293848,0.1903802732638691,-1.5728223155311427,5.249934348813826,3.997134786575614,0.020660517400587285,-1.6617793419698978,-0.6884745935409999
37816,True,False,921.8618291056011,776.993450871467,931.1549448875362,583.4278995778236,931.1549448875362,balanced_tested_sample,11.191804523319997,2.622452912248675,-0.17719914693424482,0.5580516899473056,-0.8618255190849502,3.6371144375513746,1.7493883213098262,-0.28096136307332076,2.548963352882638,-1.5460161085739128
38601,True,False,956.3643142879956,810.4085430753701,966.10457876446,616.5759939126993,966.10457876446,balanced_tested_sample,10.5658340266552,2.2222198402259883,0.10325260051179713,-0.0667165109919126,-1.1561645906692317,4.438568087532039,1.2676140852334978,0.42383506733601584,1.2814791957851441,-0.6242617075635101
