phase_index,target_tip_x,target_tip_y,target_tip_z,generated_tip_x,generated_tip_y,generated_tip_z,target_wrist_x,target_wrist_y,target_wrist_z,generated_wrist_x,generated_wrist_y,generated_wrist_z
25,-347.72840283781386,-118.06544513680345,543.475436114573,-327.9684001762398,-126.50486519811814,527.1286932517494,-123.01521927325811,83.36312339430474,182.87402893716393,-141.0457147259487,84.06834061691544,186.30190452468736
26,-353.9514632672936,-84.62348187350608,560.6322563481174,-342.531461889188,-94.30897458884587,542.9068671265811,-128.7969413496826,77.47556631440027,179.62632490665902,-141.88534156072944,81.24872166106826,184.12540094835785
27,-363.88327556675006,-50.05537108299309,571.2591966294328,-358.54744201369925,-60.57811183023817,552.702325028214,-136.73521093682493,71.3893286141074,174.90148121315676,-143.30377137657695,78.35849161322318,181.22645688738174
28,-377.84239314304716,-16.064034998810662,574.5086551250535,-374.9805270321923,-26.109831777993158,557.0317377932788,-146.47155084797686,65.38572172177234,168.84903532438997,-145.10640739848697,75.41220352923418,177.7564859509325
29,-395.48301907740193,15.579481638924033,570.3737432143034,-391.5439686635779,8.412520511409111,556.4797105464382,-157.30242242447784,59.74708459595388,161.76759960481223,-147.23719607279673,72.37746114488439,173.72786776237078
30,-415.90833735033897,43.67968987266658,559.7197341124254,-408.11292385341676,42.62983977047556,551.1471054309403,-168.41950044413827,54.652982413758494,153.99966958000462,-149.6846847575784,69.23176092242153,169.11861953264463
31,-438.07864800004296,67.82396678217829,543.7791038214864,-424.8822468697532,74.16048105605834,537.7988880025387,-179.171786895613,50.1516329293127,145.81063422725865,-152.78275973546013,65.75173478755653,163.14147906171019
32,-461.0862141997535,88.1987820644306,523.7487182571012,-442.2187100570663,101.91993442800083,519.3590092991209,-189.15609413873509,46.19569820267688,137.35739777461217,-156.41463905991975,61.984330957801134,155.89579839670733
33,-484.25137435578597,105.2228153401591,500.53984825819737,-460.3981824158043,124.06519236596951,495.8532072019324,-198.163009192439,42.703689212575206,128.70903900976893,-160.6272442542583,57.9472891996144,147.09892825027345
34,-507.0743756449415,119.36282507322026,474.8053770594141,-479.50090109983154,138.90681360222544,468.3119442690896,-206.10147726803928,39.590147093578906,119.88484601225923,-165.31469930974876,53.78479982833012,136.69361977461816
35,-529.1861098116374,131.06998342787952,447.01984992119264,-499.1147367708443,146.56018202696885,438.55878376730624,-212.95513193072918,36.77634782226228,110.88161753594048,-170.1637959998891,49.7626322050492,125.08476760827313
36,-550.2921179046513,140.70994223913726,417.5037700671806,-518.6395923188975,148.9168588266857,407.9358425115291,-218.73180012895617,34.19941521948569,101.68560172641472,-174.862287507066,46.080107410860165,112.83633417538002
37,-570.1590539432091,148.60871633086975,386.5097437124723,-537.4276408910804,147.81310323241246,376.7533293589093,-223.468484094823,31.80635291687441,92.28431734871879,-179.123724001496,42.907556884277945,100.33760577670839
38,-588.5908244199841,155.03495760441416,354.23382566494325,-555.163714641641,145.70387208889622,344.905327908439,-227.21213284470247,29.555680200511315,82.66912710968322,-182.8960797802203,40.175399735958194,87.87898844313898
39,-605.4334445726445,160.22060988011754,320.8476147335202,-571.8507557833319,143.47716268970396,312.391371075575,-230.0240788079418,27.414685860552353,72.83933161748114,-186.247935518927,37.77929862309033,75.54633615631198
40,-620.5408973409335,164.3464845653965,286.4918012219208,-587.4998358648756,141.4418633304462,279.2176781651882,-231.96102368471094,25.359890589420974,62.799079072026736,-189.207089181253,35.679872158360666,63.368197241503964
41,-633.8074366016527,167.57428387041034,251.30748265831554,-600.9426636060816,140.5914635397594,244.8150791868056,-233.0936368659686,23.373589715672907,52.562050200593376,-191.49220378157628,34.02455056988788,51.63492859777334
42,-645.1341421426418,170.03140590884647,215.42268561617917,-613.2193366823112,140.3945450314065,209.89369879555477,-233.48960295576597,21.444543776593704,42.14729029430742,-193.48879641431373,32.54195394560885,40.166409216769395
43,-654.4801935098321,171.8351804510641,178.9727118510118,-623.7556325384971,141.17676631367908,174.21675291908159,-233.23225135259412,19.56555432759538,31.583043495430857,-195.0644680505011,31.30828124486696,29.09722927941744
