evaluation,PC1,PC2
21151,9.905857966679717,7.29299362404921
21163,9.862726404483116,7.1622323192640955
21178,9.713407913719486,6.861744209161024
21218,9.955870692207379,6.248873952674703
22156,9.966182478002706,6.771103690826506
22745,10.203577201346345,6.197960801452582
22757,9.851838987091291,6.275734044657826
24355,9.291982496416706,6.291141285440008
27175,10.532758009782013,2.3740308129220304
32942,10.532758009782013,2.3740308129220304
32946,10.523154303083496,2.3566708951609083
32972,10.767478816169097,2.1804970619190236
33013,11.526588752631431,2.3683329041813175
33238,10.942425281882402,1.6856811706652481
33503,10.36019058952798,2.6234786064368634
33629,10.364953580890766,2.0285900018640155
33649,10.112673234229325,2.1430297812484325
35788,9.999207322898659,1.786335731936851
39543,10.001879616661581,1.7584341999285764
39545,10.009896497950345,1.6747296039037525
39557,9.941487011642925,1.7648860123671488
39584,9.826627122511033,1.735590454051485
39731,9.972907757976904,1.724660134620228
39748,10.005464442711403,1.8397227370051528
39840,9.95122511688902,1.7749674689634236
39842,9.879251807874562,1.7579150745032825
40309,9.69340139665382,1.893796277159026
40361,9.517206546958557,2.0332304737529587
40669,9.81682027513191,1.4469957973118148
40693,9.561260125446617,1.0325038673998386
41361,9.97710227572696,2.964298389530195
41672,9.433561989977383,0.3830965379763946
42600,10.026120543565924,0.6705038396922265
45785,9.701303109793532,1.5354223160504736
48143,9.61230282650423,1.4834188621874773
56126,9.60963053274133,1.5113203941957
56134,9.575908232523846,1.4812513585859346
56147,9.689063289047644,1.4134204865709332
56183,9.57011298999512,1.4169855066030967
56214,9.47245268028716,1.5988070794981213
56295,9.53660481622041,1.5014621530451462
56313,9.586003261582496,1.4217432648708026
57198,9.674439414129408,1.3208389287427962
57248,9.365119768124105,1.3867596952117067
57276,9.4826801762181,1.3643741390610653
57639,9.67925010210341,1.1242130633907275
58342,9.38725966619094,1.2929092268747941
58954,9.470237528903729,1.3312334132185628
60523,9.351615457180918,0.8489586846383349
63000,8.76953090109083,1.0280880023729912
65975,7.5444360993026995,1.276064484420185
65987,7.345485380444506,1.352234254391312
68084,6.668581093888107,1.0715775063875717
69389,6.8068997889648575,1.1034101245903338
70043,7.043817071973086,1.2520581559088568
74056,5.556406808687398,0.008483510369434243
78156,6.6624475887846755,0.4255934081531172
87741,6.6480175109707424,0.42023097826069167
87747,6.6701236350390145,0.41859357059146807
87749,6.6931517738020325,0.3975940579065203
87785,6.6455716541810235,0.39902006591938566
87787,6.620257752275546,0.3591600525687882
87818,6.5225974425675854,0.5409816254638125
87854,6.542646663510394,0.5812591850549337
87890,6.599987305177253,0.6018177627666234
88020,6.661189031820118,0.38947967738377876
88022,6.659301196373283,0.33530908122977104
89724,6.577666883437751,0.2260412855132004
90099,6.073081951400604,0.11509159507579224
90937,6.113801864980128,0.004230649113977018
93295,6.273791688859556,-0.1448650295983833
94836,6.0013025500836195,-0.04271810434888269
103616,5.927292113884234,0.7587731854018492
105803,5.565248417358974,0.7170592040820734
105834,5.583525748288581,0.666544154434122
141220,5.592624396783683,0.6670860303344948
141238,5.567391229022153,0.6334396885764074
141249,5.54412310944172,0.6595940233065294
141339,5.463724823014299,0.8222099313359387
141489,5.557799364632868,0.6031712966075775
144384,5.576464960747804,-4.714069899942069e-05
144541,5.085809908783508,0.7904373245148405
144869,5.36467139323968,0.47611492032415487
144901,5.237257972973018,0.48532730373821126
145597,4.653063512769423,0.29977833595382747
164097,4.434972543669533,-0.33484892573270564
225439,4.442835459078137,-0.34485057313478434
225456,4.358212081126141,-0.264850550116213
225544,4.375532383911722,-0.36948485870036984
225708,4.4092461600138195,-0.3982217835592501
225990,4.566329255037037,0.2794267490258548
229845,4.309260912838097,0.24274111360614106
230034,4.598961036105937,0.2960952532490854
235736,3.3453978296762035,-0.2640281276849158
238326,3.685211077330198,-0.589211590169411
248489,3.4420462661425812,-0.2555721597369548
249427,3.4147385738096907,-0.2550015562713059
254436,2.5491333365758924,-0.48062048158479026
314288,2.5488661071996,-0.4778303283839625
314289,2.5500432014254026,-0.480566293994753
314295,2.5475198846492497,-0.48393092817056166
314356,2.5497590485571666,-0.47528178107796065
314451,2.5128366789506127,-0.44068002538458584
314453,2.5108060857031202,-0.44754960564157703
314457,2.5143226829445577,-0.4398141270603943
314508,2.482816061009827,-0.4526009987492539
314509,2.496772137429408,-0.446913944238727
314513,2.4962102618859183,-0.4458474832882498
314518,2.4970393668057,-0.4497040974395545
314566,2.468830483253968,-0.43844310700894196
314570,2.4682686077104785,-0.43737664605846366
314572,2.470316487247913,-0.4375772086847506
314578,2.467387475472575,-0.43897934999818444
314586,2.4681729941309243,-0.43998499694185755
314595,2.4710652177865686,-0.43606252014000585
314623,2.430654973582964,-0.41574356472411256
314624,2.4306341605211483,-0.4159211459547607
314629,2.432140977576909,-0.4148776663999211
314639,2.4281651194049787,-0.41247158436055886
314642,2.4297751326642834,-0.4153719406731992
314643,2.42999748445992,-0.41728545465702815
314680,2.4228323121875928,-0.40354690228859846
314682,2.42121886026095,-0.4068573488743699
314692,2.4213893044062,-0.40408314527784095
314696,2.4203488806887736,-0.4002932387748716
314709,2.425067046720192,-0.4011663154196637
314737,2.3472124330953803,-0.3591561207659334
314738,2.3467131789581908,-0.363415857505865
