generation_index,round,region_id,generation,evaluation_start,evaluation_end,population,valid_count,valid_rate,generation_best,sigma_before,sigma_after,mean_displacement,diagonal_condition_proxy,boundary_contact_fraction,path_c_norm,path_sigma_norm,restart
0,0,0,0,32942,33671,192,165,0.859375,566.503441490909,0.04,0.037240753041893594,0.058779299929228555,102301763.57798499,0.6,2.5363348532976504,5.489499005800691,False
1,0,0,1,33672,34381,192,174,0.90625,588.3604009540213,0.037240753041893594,0.0372788116967303,0.08374814066154741,109219588.80352151,0.6181818181818182,4.122536759214342,7.34065010607749,False
2,0,0,2,34382,35072,192,180,0.9375,612.8350397932887,0.0372788116967303,0.03510788999704278,0.06601604256499286,109460551.54799181,0.6545454545454545,3.91222566913477,5.782542549541476,False
3,0,0,3,35073,35713,192,177,0.921875,583.1207076456329,0.03510788999704278,0.03531066921080082,0.06904532144862759,112407845.90564488,0.5636363636363636,5.168302796334518,7.461626319531706,False
4,0,0,4,35714,36318,192,187,0.9739583333333334,355.3038325691954,0.03531066921080082,0.03462016926356972,0.05239571272239801,114038710.21591863,0.5454545454545454,5.274304344892377,6.810302718606267,False
5,0,0,5,36319,37047,192,179,0.9322916666666666,595.4163064210524,0.03462016926356972,0.03504784378021079,0.07844270735179387,112746263.23141575,0.5454545454545454,4.521047047110053,7.628067358334077,False
6,0,0,6,37048,37708,192,185,0.9635416666666666,600.1349935046427,0.03504784378021079,0.033543575849319496,0.050171992954477794,114277645.5887566,0.5272727272727272,4.247077137253684,6.194420171766685,False
7,0,0,7,37709,38337,192,178,0.9270833333333334,578.3730734655444,0.033543575849319496,0.032264156890386676,0.04675205643079934,116313687.31098004,0.6,5.215651797129678,6.321587204736087,False
8,0,0,8,38338,38977,192,180,0.9375,683.9930136409417,0.032264156890386676,0.03132303500683647,0.08379286656234498,126020900.94548857,0.6181818181818182,4.011321523197791,6.5586788108562,False
9,0,0,9,38978,39542,192,178,0.9270833333333334,634.4485845555616,0.03132303500683647,0.029008508014230664,0.05743597339854087,132355695.54253817,0.5636363636363636,4.266687772966841,5.354453704476755,False
10,1,2,0,39867,40449,192,190,0.9895833333333334,341.56972218550294,0.029008508014230664,0.11357255036307597,0.26535478374309757,146104935.46204403,0.5818181818181818,3.930844044951798,42.164849534174046,False
11,1,2,1,40450,41285,192,187,0.9739583333333334,335.4772471057357,0.11357255036307597,0.18,0.0496987721946482,142880061.3030301,0.6,3.621435579053114,25.822575189547116,False
12,1,2,2,41286,42197,192,173,0.9010416666666666,312.0357820627281,0.18,0.18,0.04552356733875756,139720214.36412406,0.8181818181818182,3.336381576896822,15.716972436257018,False
13,1,2,3,42198,43130,192,177,0.921875,310.01568682962727,0.18,0.18,0.04486748139888666,136616764.5212275,0.8363636363636363,3.049287115915025,9.491766932287163,False
14,1,2,4,43131,44048,192,170,0.8854166666666666,327.8831651636078,0.18,0.16852342305242657,0.05126851248902214,133580568.14896351,0.8,2.8754211270050374,5.632328550655833,False
15,1,2,5,44049,44943,192,182,0.9479166666666666,323.8570837365629,0.16852342305242657,0.1441702189126186,0.03352737025479745,130611110.90321624,0.7636363636363637,2.6980383519917046,3.3292047972007572,False
16,1,2,6,44944,45816,192,189,0.984375,301.9529196962313,0.1441702189126186,0.11960431487708169,0.04139435049243393,127708783.7752803,0.6545454545454545,2.4769160944874544,2.5446521233984374,False
17,1,2,7,45817,46659,192,187,0.9739583333333334,325.2777431104061,0.11960431487708169,0.09638517660762205,0.040369747687754795,124870879.23105085,0.6363636363636364,2.251858048027937,1.8033783984984584,False
18,1,2,8,46660,47433,192,191,0.9947916666666666,311.3792290126535,0.09638517660762205,0.07764434863724337,0.027132838466183994,122101928.50782442,0.5272727272727272,2.0908545329104347,1.793748088839746,False
19,1,2,9,47434,48185,192,189,0.984375,296.59439442826084,0.07764434863724337,0.06598135640314637,0.044357225997089834,119398573.05323653,0.5636363636363636,2.415462280175021,3.158471782730398,False
20,1,1,0,48186,48812,192,143,0.7447916666666666,366.0115308109681,0.029008508014230664,0.11480315244933896,0.28279311381660743,140595469.38087606,0.5636363636363636,3.930844044951798,42.4400330770437,False
21,1,1,1,48813,49616,192,173,0.9010416666666666,319.74739661436183,0.11480315244933896,0.18,0.04249408883018087,137499743.10602507,0.6545454545454545,3.621435579053114,26.058169076563733,False
22,1,1,2,49617,50489,192,162,0.84375,356.8822242235015,0.18,0.18,0.08000373273546707,134457809.40300554,0.7636363636363637,3.336381576896822,15.770960624567104,False
23,1,1,3,50490,51366,192,169,0.8802083333333334,349.15169420546863,0.18,0.18,0.07012473714336095,131471169.8246152,0.7272727272727273,3.0846718734410206,9.563294389031432,False
24,1,1,4,51367,52225,192,161,0.8385416666666666,325.56362687519646,0.18,0.17064962858729726,0.0773984597652253,128550490.05185956,0.7818181818181819,3.1847721369187845,5.952468667138022,False
25,1,1,5,52226,53074,192,174,0.90625,351.78293681783884,0.17064962858729726,0.14777962231457245,0.0749703158658352,125694403.14370188,0.7090909090909091,2.737305179094669,3.6404577527313213,False
26,1,1,6,53075,53926,192,177,0.921875,356.62717067674555,0.14777962231457245,0.12149580705963896,0.04614534848850844,122904509.40958597,0.6363636363636364,2.5156206024414534,2.3139103318403085,False
27,1,1,7,53927,54694,192,178,0.9270833333333334,339.7672182031763,0.12149580705963896,0.09995559030957786,0.053079701940942026,120176624.83760464,0.6545454545454545,2.5514676541993686,2.331493399690291,False
28,1,1,8,54695,55418,192,183,0.953125,341.13039285011376,0.09995559030957786,0.0819740816672377,0.03943355625885691,117521243.05026534,0.6,2.346299696385533,2.2505730768579175,False
29,1,1,9,55419,56124,192,176,0.9166666666666666,311.7597011927667,0.0819740816672377,0.06802342069990455,0.03415954668964658,114924562.16000806,0.5636363636363636,2.378835054330904,2.5511558286588736,False
30,2,3,0,56773,57375,192,190,0.9895833333333334,285.71332351540065,0.04,0.1760386963568862,0.5656427797646628,213948357.266035,0.509090909090909,2.2253340354523905,45.15161645872691,False
31,2,3,1,57376,58284,192,176,0.9166666666666666,284.655873531803,0.1760386963568862,0.18,0.08976435140583781,209580074.99042356,0.7090909090909091,2.0501713522862373,28.45805583418321,False
32,2,3,2,58285,59169,192,167,0.8697916666666666,281.7909724224717,0.18,0.18,0.02144468779718715,204988417.8541543,0.7090909090909091,1.8887962466635737,17.108041093877706,False
33,2,3,3,59170,60066,192,178,0.9270833333333334,284.2737261873227,0.18,0.18,0.023747926524695206,200472478.1449044,0.8181818181818182,1.8193815271531029,10.26669470888721,False
34,2,3,4,60067,60949,192,183,0.953125,279.05836836660944,0.18,0.17206235169788175,0.031501558473189833,196049641.20944744,0.6545454545454545,1.616448510944185,6.1629825430446274,False
35,2,3,5,60950,61869,192,175,0.9114583333333334,282.15078920516254,0.17206235169788175,0.14988469877165855,0.02590355545224423,191719898.7853219,0.6727272727272727,1.5164525763181826,3.7911032051137616,False
36,2,3,6,61870,62755,192,184,0.9583333333333334,283.16424713276683,0.14988469877165855,0.12300374759519594,0.011958494054068016,187491403.33108008,0.6181818181818182,1.3923053360550968,2.267715900534749,False
37,2,3,7,62756,63576,192,186,0.96875,277.7929080284158,0.12300374759519594,0.09834893400229003,0.021053448808897295,183361784.31022024,0.6,1.3108844574807872,1.6027667264676881,False
38,2,3,8,63577,64353,192,188,0.9791666666666666,281.2418462743129,0.09834893400229003,0.07851612528840943,0.027683360146833806,179311407.36497688,0.6,1.206175745225306,1.5638382747983761,False
39,2,3,9,64354,65077,192,189,0.984375,284.5145741541265,0.07851612528840943,0.06319264989175391,0.025882869472384704,175435599.18643376,0.5818181818181818,1.1647874811430123,1.7707068086318591,False
40,2,6,0,65078,65544,192,185,0.9635416666666666,289.81727879284307,0.04,0.06357338775390639,0.14563569377375504,112430100.4787615,0.6,2.1915898478639146,19.144911510463093,False
41,2,6,1,65545,66179,192,182,0.9479166666666666,266.43273853131615,0.06357338775390639,0.08583748845937857,0.06793679200492803,113753771.8899478,0.5636363636363636,2.019083270408227,14.981459267393483,False
42,2,6,2,66180,66855,192,184,0.9583333333333334,279.99705258531236,0.08583748845937857,0.09580905504444726,0.03998176740655186,111708588.95054404,0.5454545454545454,2.4517913275901138,10.120800589720902,False
43,2,6,3,66856,67567,192,177,0.921875,272.1530910631877,0.09580905504444726,0.0940174280989404,0.04008737186574784,109449998.71546714,0.5454545454545454,2.726348651437135,6.832560609127628,False
44,2,6,4,67568,68289,192,184,0.9583333333333334,266.3088182812155,0.0940174280989404,0.08490783880366776,0.029679743337793104,107549501.06760259,0.4727272727272727,2.730173648973547,4.712292896038947,False
45,2,6,5,68290,68967,192,180,0.9375,288.77650365492605,0.08490783880366776,0.07157596529664306,0.03057031963367134,105393846.47293504,0.5636363636363636,2.4455749120386754,2.95316390639246,False
46,2,6,6,68968,69583,192,187,0.9739583333333334,263.4669615642082,0.07157596529664306,0.060260320388677645,0.03443550825156591,105232125.33355832,0.5636363636363636,2.1833599832493746,2.9205209775436334,False
47,2,6,7,69584,70206,192,186,0.96875,262.7078796024943,0.060260320388677645,0.052575091880765555,0.04200372941005679,111976858.21894234,0.6181818181818182,2.0490974418680388,3.8309163800612342,False
48,2,6,8,70207,70757,192,187,0.9739583333333334,270.1240805949488,0.052575091880765555,0.044683452383662135,0.04175099575013536,111051599.18131049,0.5818181818181818,2.0839133311951694,3.1617226497043385,False
49,2,6,9,70758,71306,192,187,0.9739583333333334,270.99404626433875,0.044683452383662135,0.039296298567379206,0.027703625145753634,109705156.96251191,0.509090909090909,2.751416595104975,4.034128761406714,False
50,2,4,0,71307,71790,192,191,0.9947916666666666,274.2234859491012,0.04,0.11523274570417032,0.24056620119133323,116896344.68500544,0.4909090909090909,2.2253340354523905,34.33154586154047,False
51,2,4,1,71791,72584,192,177,0.921875,266.05159086649644,0.11523274570417032,0.18,0.07650824229678062,114313994.45614645,0.6,2.0501713522862373,23.055358856006485,False
52,2,4,2,72585,73462,192,159,0.828125,266.1827263716816,0.18,0.18,0.046949621091402174,111784402.50343,0.7636363636363637,1.8887962466635737,14.170696760494062,False
53,2,4,3,73463,74331,192,160,0.8333333333333334,252.95883765590293,0.18,0.18,0.0279456210373896,109300320.16753599,0.7272727272727273,1.5965507948474822,8.455287405118769,False
54,2,4,4,74332,75194,192,170,0.8854166666666666,266.2352064233173,0.18,0.1646577611613717,0.023083390080392632,106870777.85223848,0.7090909090909091,1.3729430299639205,5.0397943931484805,False
55,2,4,5,75195,76032,192,176,0.9166666666666666,265.31051494909275,0.1646577611613717,0.14066494557764206,0.04646631067977136,104496080.68006861,0.6363636363636364,1.5610164307818004,3.2932455648981356,False
56,2,4,6,76033,76848,192,172,0.8958333333333334,257.3567725271038,0.14066494557764206,0.11551894040909001,0.03225182346056968,102175052.48918985,0.6181818181818182,1.3717273552015212,2.285722882397923,False
57,2,4,7,76849,77620,192,184,0.9583333333333334,265.92435987564636,0.11551894040909001,0.09347373425953372,0.03451197274170598,99904399.89512992,0.6363636363636364,1.235252612953995,1.9076207211223442,False
58,2,4,8,77621,78368,192,182,0.9479166666666666,248.95529267623897,0.09347373425953372,0.07522261175685747,0.03322014167141783,97687257.2422955,0.5636363636363636,1.2492690127114325,1.7678321893026687,False
59,2,4,9,78369,79049,192,188,0.9791666666666666,250.01228826240882,0.07522261175685747,0.06363940575165461,0.04268203464792723,95518825.48507176,0.5272727272727272,1.947432377754301,3.044782117932837,False
60,2,5,0,79050,79633,192,110,0.5729166666666666,392.48887268011174,0.04,0.1418571130882746,0.31040351896452095,112465021.62718457,0.5818181818181818,2.1915898478639146,39.63922536890941,False
61,2,5,1,79634,80519,192,154,0.8020833333333334,351.31220206151335,0.1418571130882746,0.18,0.08159088292422044,109977914.06723496,0.7090909090909091,2.019083270408227,25.313312741381946,False
62,2,5,2,80520,81442,192,133,0.6927083333333334,390.9245557694387,0.18,0.18,0.04382469843607841,108141396.38327266,0.7454545454545455,1.860155200488738,15.447119683638585,False
63,2,5,3,81443,82396,192,129,0.671875,388.8865138969342,0.18,0.18,0.05610604819149817,106305731.06995226,0.7636363636363637,1.9047838231168484,9.475367023475608,False
64,2,5,4,82397,83329,192,132,0.6875,378.16628616094647,0.18,0.17049354328855026,0.05917175371177659,104521791.48146027,0.7090909090909091,1.953674779635914,5.929103125585947,False
65,2,5,5,83330,84261,192,135,0.703125,339.02433024574907,0.17049354328855026,0.15031571365600058,0.06306656348538092,102779634.29319799,0.6363636363636364,2.1231989185471627,4.0983041976842305,False
66,2,5,6,84262,85178,192,158,0.8229166666666666,396.09032818305457,0.15031571365600058,0.12591751413981986,0.041674511592721626,101563448.30553953,0.6363636363636364,1.8620121342406792,2.792204221304295,False
