phase,L3_mm,L8_mm
0.0,256.04985591975833,201.07463123142227
0.013157894736842105,255.50006470051133,200.52967967460145
0.02631578947368421,254.8534323953737,200.16365622471506
0.039473684210526314,254.11205694021317,200.0135075378496
0.05263157894736842,253.28385014966685,200.11054753978507
0.06578947368421052,252.38238564102542,200.47863900448104
0.07894736842105263,251.42642199773886,201.1327347459515
0.09210526315789473,250.43912520022516,202.07786209489348
0.10526315789473684,249.4470320599376,203.3086092509957
0.11842105263157894,248.47881167724074,204.80914357577373
0.13157894736842105,247.56389388644837,206.55376160985543
0.14473684210526316,246.7310415349557,208.50794035843282
0.15789473684210525,246.0069467944998,210.62983098105815
0.17105263157894737,245.4149303208605,212.87211112735693
0.18421052631578946,244.9738160484156,215.18409224587086
0.19736842105263158,244.69704409234816,217.51396442519012
0.21052631578947367,244.59207025603808,219.81105449966503
0.2236842105263158,244.66008384608725,222.02797364262875
0.23684210526315788,244.8960568929565,224.12253841407951
0.25,245.2891185789783,226.059363727412
0.2631578947368421,245.82322984455723,227.8110465469696
0.27631578947368424,246.47811590387786,229.35888407227753
0.2894736842105263,247.2303997805658,230.69309818149785
0.3026315789473684,248.05486883749052,231.81256729314262
0.3157894736842105,248.92579927586203,232.72409578406382
0.32894736842105265,249.81826111700624,233.44127792950798
0.34210526315789475,250.70932837945202,233.98303640346091
0.35526315789473684,251.57912586482868,234.3719333271886
0.3684210526315789,252.4116547364237,234.63236363260472
0.3815789473684211,253.19535323623887,234.78874544866463
0.39473684210526316,253.92336555844884,234.86382007850924
0.40789473684210525,254.5935100483457,234.87716510243862
0.42105263157894735,255.20795640918604,234.8440088284139
0.4342105263157895,255.7726393403621,234.77441371168715
0.4473684210526316,256.2964519164894,234.6728717925749
0.4605263157894737,256.7902750839215,234.5383282089441
0.47368421052631576,257.2659091113768,234.36462112233704
0.4868421052631579,257.7349781220474,234.14129968573016
0.5,258.207879651782,233.85475763888763
0.5131578947368421,258.69284749452623,233.48960023420184
0.5263157894736842,259.195188162847,233.03014769807046
0.5394736842105263,259.7167396205886,232.46197020745026
0.5526315789473685,260.25558627872516,231.7733479021464
0.5657894736842105,260.80604751007263,230.95655483129534
0.5789473684210527,261.35893918558827,230.0088775910211
0.5921052631578947,261.9020900774048,228.9332969886042
0.6052631578947368,262.4210785165742,227.7387832490445
0.618421052631579,262.9001404656867,226.4401806576766
0.631578947368421,263.32318905735576,225.05768450258194
0.6447368421052632,263.67487835373083,223.615940037691
0.6578947368421053,263.94164105692016,222.1428182320091
0.6710526315789473,264.1126313369448,220.66794471379853
0.6842105263157895,264.18050975645536,219.2210751821832
0.6973684210526315,264.14201710138366,217.83042155965984
0.7105263157894737,263.99829716510806,216.52103757800887
0.7236842105263158,263.7549443588467,215.31337001644252
0.7368421052631579,263.4217694488817,214.22207256274444
0.75,263.01229466631946,213.25516378641447
0.7631578947368421,262.54300677724325,212.41358992836345
0.7763157894736842,262.03241235473956,211.69122838907327
0.7894736842105263,261.49995247547054,211.07534045733865
0.8026315789473685,260.96484355095555,210.54745364906222
0.8157894736842105,260.44491638987796,210.08462676429613
0.8289473684210527,259.9555265165047,209.66102611765578
0.8421052631578947,259.50860515975614,209.24972089717775
0.8552631578947368,259.1119123754976,208.82459055690757
0.868421052631579,258.7685419374869,208.3622285180813
0.881578947368421,258.47671263679507,207.8437248230344
0.8947368421052632,258.2298633697027,207.2562159095033
0.9078947368421053,258.01705091707237,206.59410206863052
0.9210526315789473,257.8236307498467,205.85985171456696
0.9342105263157895,257.63218367160493,205.06433524439518
0.9473684210526315,257.42363570661684,204.22665860671145
0.9605263157894737,257.1785063117704,203.3734960975183
0.9736842105263158,256.87821150052724,202.53795160272807
0.9868421052631579,256.5063443529525,201.75800572158224
