round,evaluation_at_round_end,parent_region_id,child_left,child_right,variable,split_value_normalized,split_value_absolute,local_sensitivity,split_seed_count,parent_volume_log10
0,39542,0,1,2,L3_C0,0.5372597457484469,253.4135084694409,757.2975225797898,3121,0.0
1,56124,2,3,4,L2,0.37104311629104025,136.1546595389537,1012.2629896146994,3859,-0.3346627191322548
1,56124,1,5,6,L3_C0,0.46561132905450386,227.6200784596214,1370.3735488618054,976,-0.269815697779034
2,87728,4,7,8,L3_C0,0.576005088306586,267.36183179037096,877.9411919507838,888,-0.5360418444486531
2,87728,6,9,10,L2,0.38253430157121676,140.0616625342137,443.0794465626032,4880,-1.1447934023173172
2,87728,3,11,12,L3_C0,0.5784440019229398,268.2398406922583,1319.051039225113,3828,-0.7652383403008282
2,87728,5,13,14,B_Z_C1s,0.2652532673706356,-84.50882374657118,604.5079423164063,2254,-0.33197646116315443
3,141213,9,15,16,L31,0.6657224313038959,103.20114038254542,1030.3826359679638,4521,-1.562123018212833
3,141213,7,17,18,L5,0.3665610544430643,187.97465306633543,529.9263387607832,6459,-1.6131596203544827
3,141213,10,19,20,B_Y_C1c,0.593937464066186,33.817487063826945,558.4108120246112,4514,-1.3541805657246786
3,141213,8,21,22,L5,0.40653676466951133,197.5688235206827,1310.219995637541,2684,-0.5740184806027515
3,141213,11,23,24,LRod,0.3615772204154971,60.6208108581696,374.28222798290034,4436,-1.8158443945354175
3,141213,12,25,26,L5,0.36859059127663407,188.46174190639218,1363.4129256029696,3861,-0.8057203481614957
3,141213,14,27,28,B_CenterX,0.4361339795436422,63.17627140832971,890.4935075376065,3110,-0.4658387976933494
3,141213,13,29,30,B_CenterX,0.3725028744744536,36.451207279270534,913.8797192083522,3070,-0.9083157189486912
4,225432,18,31,32,L31,0.6646440033345379,103.05016046683531,2161.0420987122648,5376,-1.8114548588864667
4,225432,15,33,34,B_Y_C1c,0.5992231269421676,35.720325699180336,1235.553256522697,4514,-1.7388298276012872
4,225432,19,35,36,L5,0.3520600122777807,184.49440294666738,715.8001490807327,4224,-1.5804398453911583
4,225432,21,37,38,L5,0.37916973931456777,191.00073743549626,1576.5901620876903,1949,-0.9649186539909633
4,225432,20,39,40,L31,0.6662057039166807,103.2687985483353,1460.7055510281386,4543,-1.745587643183081
4,225432,22,41,42,L5,0.4701757849304563,212.84218838330952,1234.41968280239,1672,-0.8006246607454199
4,225432,17,43,44,L31,0.6677210705807236,103.4809498813013,1242.7243598888897,5251,-2.0490132992235166
4,225432,16,45,46,L5,0.35858295881994995,186.059910116788,1227.7185439259792,3977,-2.0380157834639743
4,225432,24,47,48,B_CenterX,0.37779756960675404,38.674979234836684,893.1211819484964,3979,-2.0107360198403783
4,225432,28,49,50,L2,0.39806289199958916,145.3413832798603,407.53532965589835,3708,-0.7146628736546283
5,314286,31,51,52,L7,0.4444204272275218,244.44204272275218,3390.1101961825766,4693,-1.9888657681478812
5,314286,38,53,54,L2,0.4223852525640701,153.61098587178384,2043.4435549928733,182,-2.136790886047607
5,314286,41,55,56,L2,0.421281689538878,153.23577444321853,1690.7534592423149,275,-1.7702949956517868
5,314286,32,57,58,B_Y_C1c,0.5979373985366597,35.257463473197504,1537.7944197282545,4621,-2.2859487823072007
5,314286,34,59,60,B_Y_C0,0.7809667322581949,34.00301377422093,976.4323489471514,3898,-2.1359271751042592
6,403415,51,61,62,L13,0.290371023960928,34.714134204405376,4442.784364130894,4550,-2.3410717556191316
6,403415,55,63,64,L7,0.4386827407961283,243.86827407961283,2914.7501311976353,6459,-2.867878573192826
6,403415,42,65,66,L7,0.47606188486243384,247.60618848624338,2494.741825840718,2929,-0.849886677206364
6,403415,58,67,68,L2,0.4255629049376682,154.6913876788072,2114.7120346609145,141,-2.6816551039654604
6,403415,52,69,70,L2,0.4190209735252614,152.46713099858889,2526.2934005064417,202,-2.2441194986764015
6,403415,53,71,72,L31,0.666319958939079,103.28479425147107,1521.1906565901345,5895,-3.224937825646138
6,403415,57,73,74,L2,0.422148495010661,153.53048830362474,2774.5839436015262,216,-2.509293064695451
7,479386,62,75,76,L11,0.31573395534307097,38.416055980876386,4049.6114266874356,4369,-2.4900404150342568
7,479386,61,77,78,L11,0.3217197764892463,38.95477988403217,3207.5670184736014,4673,-2.878118479547477
7,479386,65,79,80,L2,0.4221514383253769,153.53148903062814,3543.9794496121995,58,-1.1722232654368667
7,479386,63,81,82,L7,0.386146447440515,238.6146447440515,3779.4164115899625,1577,-3.2257280250072826
7,479386,64,83,84,L3_C1c,0.4425359538822735,-6.321045072949914,1127.279538149234,5438,-3.1186701772197836
8,554954,75,85,86,L6,0.46890248840552745,246.89024884055274,3669.6195920950045,4843,-2.9907191247950577
8,554954,76,87,88,L8_C0,0.18517395064430103,218.5173950644301,3373.961523024854,4683,-2.6548154255041254
8,554954,77,89,90,L6,0.47438017415983724,247.43801741598372,3074.6162531643276,4248,-3.3706407212374776
8,554954,78,91,92,L6,0.4757169896782253,247.57169896782253,2908.8184246482165,3856,-3.0467093249406023
8,554954,82,93,94,L6,0.48361162649277956,248.36116264927796,2081.4257200086936,6946,-4.1474191448644
8,554954,79,95,96,L7,0.4210576775630739,242.1057677563074,3650.0561398911705,3259,-2.2623525174941492
8,554954,84,97,98,B_Y_C1s,0.4975564582686984,-0.8796750232685895,630.1779396115763,4543,-3.372453314604873
8,554954,81,99,100,L13,0.28768734559293346,34.46723579454988,3326.936005468939,3045,-3.2811265295229752
8,554954,83,101,102,L3_C2c,0.5406601957535615,2.846213702749303,917.48572657248,4309,-3.4727216164495474
8,554954,73,103,104,B_Z_C1s,0.3704380411471776,-46.64230518701606,447.3450681999974,5793,-3.599447328377018
8,554954,69,105,106,B_Y_C0,0.7829827905607393,34.42638601775525,1033.7631258488157,7125,-3.3616995255625866
9,610634,85,107,108,theta18_deg,0.606383292562675,102.765995107521,3835.328078034537,5031,-3.3196365873048292
10,688862,107,109,110,L8_C0,0.1833899288125258,218.33899288125258,4823.473218752161,5061,-3.53688936045886
10,688862,108,111,112,L7,0.3956732702252134,239.56732702252134,8861.955649564681,4457,-3.7245630631099513
10,688862,86,113,114,L8_C0,0.18756410012921207,218.7564100129212,4271.43345646243,4488,-3.265544858215539
10,688862,89,115,116,L8_C0,0.18541459052606285,218.54145905260629,3249.8770551426933,4444,-3.6945141910349477
10,688862,87,117,118,L13,0.3852805099911202,43.445806919183056,4740.423919406736,146,-3.3872355332615296
10,688862,88,119,120,L13,0.3816839468135493,43.11492310684653,4555.651864417021,103,-2.743750520896912
10,688862,91,121,122,L8_C0,0.188827996476152,218.8827996476152,3408.8594443600246,3850,-3.3693606629221233
10,688862,90,123,124,L8_C0,0.18506340573533747,218.50634057353375,2983.659797284191,4163,-3.6499689832348494
10,688862,92,125,126,L8_C0,0.18645463964527637,218.64546396452764,2761.0269895295723,3206,-3.327143540549507
10,688862,95,127,128,L6,0.47730427461617636,247.73042746161764,2749.7060559796278,3976,-2.3156743385784466
10,688862,96,129,130,L3_C1c,0.4720642415729804,-3.072933426972156,2152.426762315968,4310,-3.1996200190964577
11,738930,109,131,132,L7,0.3923021775321797,239.23021775321797,10696.804408292352,5068,-4.273513878531856
11,738930,110,133,134,L7,0.39385153693218056,239.38515369321806,10170.950128297107,4297,-3.6248746287193288
12,794621,131,135,136,L7,0.3402895354338014,234.02895354338014,11180.70014403579,105,-4.327687172307604
12,794621,132,137,138,L13,0.41550247133384155,46.22622736271342,5937.941799735582,68,-5.204318068832387
12,794621,133,139,140,L12,0.12709431627277365,10.719244232274814,4094.1769127897905,4495,-3.677336096686204
12,794621,134,141,142,L12,0.12849134899209375,10.782110704644218,4018.7486660101517,3809,-4.568785217848829
12,794621,111,143,144,L8_C0,0.18246950980730844,218.24695098073084,4549.631700419804,4634,-3.775020363219005
12,794621,112,145,146,L12,0.13080778945312027,10.886350525390412,3648.977622996695,4213,-4.6844077834854465
12,794621,127,147,148,L5,0.5293228164082076,227.03747593796982,3713.2946952090874,6,-2.6368790147634185
12,794621,113,149,150,L7,0.40016228053809527,240.01622805380953,8548.478757368288,4651,-3.992395140418565
12,794621,114,151,152,L7,0.4008080201821676,240.08080201821676,8019.994962147373,3503,-3.3557557524791886
12,794621,117,153,154,L6,0.47698873887516724,247.69887388751673,3333.4244035453266,6858,-4.260957252307616
12,794621,116,155,156,L7,0.4099283955785623,240.99283955785623,5968.28218445855,3824,-3.783577564123301
13,838322,149,157,158,L12,0.13669077380609995,11.151084821274498,3331.58003366321,3139,-4.0379530034951925
13,838322,136,159,160,L12,0.12589643105763726,10.665339397593677,4398.658924052398,7335,-5.205198975766791
13,838322,137,161,162,L12,0.12499200462365954,10.62464020806468,4268.00307299114,6851,-5.957982941416667
14,887871,160,163,164,L12,0.2537211929950265,16.41745368477619,4477.325033885379,146,-5.263636082313914
14,887871,159,165,166,L13,0.3907177894293115,43.94603662749666,5383.896480626793,68,-6.105185556969044
14,887871,161,167,168,L6,0.4125734208857497,241.25734208857497,8136.2725185507215,31,-6.861100708079658
14,887871,162,169,170,L12,0.3223833356195479,19.507250102879656,4303.009902995433,115,-6.0159709200149685
14,887871,139,171,172,L13,0.42137149685079356,46.766177710273006,5169.072770843357,57,-4.573209967584317
14,887871,141,173,174,L13,0.41104973523635957,45.81657564174508,5065.1744398802075,56,-5.459911329181293
14,887871,140,175,176,L13,0.37727548570209996,42.7093446845932,5215.986437415929,148,-3.736368775374256
14,887871,142,177,178,L13,0.42516868440195155,47.11551896497954,5108.165107880489,105,-4.628513515368566
14,887871,143,179,180,L12,0.1293484612365371,10.820680755644169,3829.068620128844,5006,-4.513830057871474
15,931194,163,181,182,L13,0.3814669899129942,43.094963071995465,7284.550205152167,179,-6.098583983203534
15,931194,165,183,184,L6,0.41145999588911053,241.14599958891105,8851.858884816456,45,-6.954713519353954
15,931194,168,185,186,theta18_deg,0.45702615556955856,84.84313866834702,4004.8714018034234,110,-7.781450683654028
16,977694,169,187,188,L6,0.425040444602665,242.5040444602665,8967.291155420322,75,-6.662654865946885
16,977694,177,189,190,L12,0.3333648176096923,20.001416792436153,4164.313441236141,99,-5.349862501338494
16,977694,173,191,192,L6,0.414048131746126,241.4048131746126,7289.15881987282,48,-6.229312006057029
16,977694,171,193,194,L7,0.35210953779419074,235.21095377941907,12114.040270818841,285,-5.306968444779928
16,977694,175,195,196,L3_C1c,0.4767646495925179,-2.555888544823027,3895.3138948936617,6095,-4.648358041929014
16,977694,179,197,198,L7,0.35653359433612847,235.65335943361285,10569.783864719742,31,-5.402068791270059
16,977694,180,199,200,L7,0.35506265825803185,235.50626582580318,9174.739875632591,84,-4.573985685955131
16,977694,145,201,202,L13,0.38145334821675225,43.093708035941205,5128.3722767336185,55,-5.567774176991229
16,977694,144,203,204,L12,0.12945387042404402,10.82542416908198,3852.2918570037596,4264,-3.862516404363126
