frame,phase,L3_mm,L8_mm,L32_mm,B_x_mm,B_y_mm,B_z_mm
0,0.0,272.8189465778484,254.6330449642466,169.90261966477584,38.941732807199685,-32.362186834522,6.741274205523951e-13
1,0.013157894736842105,271.5485123280006,255.63457594039843,168.63218541492802,38.941732807199685,-32.00911649697778,-2.873275852734927
2,0.02631578947368421,270.26066410162736,256.6822942859307,167.3443371885548,38.941732807199685,-31.622560303025246,-5.789234404859809
3,0.039473684210526314,268.9722143298879,257.77021561483923,166.05588741681532,38.941732807199685,-31.21594959511382,-8.730261147870769
4,0.05263157894736842,267.69936425545893,258.89243259039796,164.78303734238636,38.941732807199685,-30.798753049418316,-11.681514059913376
5,0.06578947368421052,266.45739141370325,260.04311370017103,163.54106450063068,38.941732807199685,-30.37622947906645,-14.63053418855959
6,0.07894736842105263,265.26036571329695,261.21649305439456,162.34403880022438,38.941732807199685,-29.94932620157223,-17.566662272971318
7,0.09210526315789473,264.12090095365494,262.40685264228745,161.20457404058237,38.941732807199685,-29.51472545711392,-20.480311680057767
8,0.10526315789473684,263.04994763282116,263.60849872587045,160.1336207197486,38.941732807199685,-29.065037117887062,-23.362157557057394
9,0.11842105263157894,262.05663176246094,264.81573424191447,159.14030484938837,38.941732807199685,-28.589131733729257,-26.202307796337568
10,0.13157894736842105,261.14814314728477,266.0228292142688,158.2318162342122,38.941732807199685,-28.072603931380026,-28.989522802755516
11,0.14473684210526316,260.3296752390482,267.22399124730566,157.41334832597562,38.941732807199685,-27.498352435340752,-31.710548055119908
12,0.15789473684210525,259.60441727691557,268.4133381745813,156.688090363843,38.941732807199685,-26.847259610932518,-34.34961624244807
13,0.17105263157894735,258.9735980145631,269.5848748749344,156.05727110149053,38.941732807199685,-26.09895053794001,-36.88816477897884
14,0.18421052631578946,258.4365789482993,270.7324761428259,155.52025203522675,38.941732807199685,-25.232609286280297,-39.30480044285273
15,0.19736842105263158,257.9909936373837,271.8498773142684,155.07466672431116,38.941732807199685,-24.227828348338534,-41.57552662088319
16,0.21052631578947367,257.63292848352495,272.93067410940563,154.71660157045238,38.941732807199685,-23.06546613386578,-43.67423119583902
17,0.22368421052631576,257.3571392444002,273.9683328644178,154.4408123313276,38.941732807199685,-21.728487082230675,-45.57341558105651
18,0.23684210526315788,257.1572966254948,274.9562119970837,154.2409697124222,38.941732807199685,-20.2027593038299,-47.24512889795412
19,0.25,257.02625355068795,275.88759519127706,154.1099266376154,38.941732807199685,-18.47778571865385,-48.66205685440871
20,0.2631578947368421,256.9563261747605,276.7557364060652,154.0399992616879,38.941732807199685,-16.547346387262383,-49.79870344135517
21,0.2763157894736842,256.9395803846679,277.55391642569003,154.02325347159535,38.941732807199685,-14.410032081228875,-50.63259586517783
22,0.2894736842105263,256.96811544922446,278.2755102786053,154.0517885361519,38.941732807199685,-12.069652052789825,-51.14543969001748
