frame,phase,L3_mm,L8_mm,L32_mm,B_x_mm,B_y_mm,B_z_mm
52,0.6842105263157894,271.99597350373415,256.93711268265116,169.07964659066158,38.941732807199685,10.714485081285506,8.11961381673342
53,0.6973684210526315,273.1221094110928,255.6995236616179,170.20578249802026,38.941732807199685,7.165951763018968,10.10746655475928
54,0.7105263157894737,274.2324046120244,254.53565355597013,171.31607769895186,38.941732807199685,3.5605483702486023,12.035486981152593
55,0.7236842105263157,275.3115844740848,253.45430205288264,172.39525756101222,38.941732807199685,-0.052120862845996374,13.880832327882036
56,0.7368421052631579,276.3440638898781,252.46330255884533,173.42773697680553,38.941732807199685,-3.62411292999956,15.617020304988156
57,0.75,277.31427777422806,251.56945650530866,174.3979508611555,38.941732807199685,-7.110108155637375,17.21497791969021
58,0.763157894736842,278.20701958022465,250.77848601786025,175.2906926671521,38.941732807199685,-10.46829039948855,18.644271145755187
59,0.7763157894736842,279.0077791881772,250.09500529598535,176.09145227510464,38.941732807199685,-13.661123785175885,19.87444455212512
60,0.7894736842105263,279.7030714760918,249.52251061338632,176.78674456301923,38.941732807199685,-16.656007251502754,20.87639419076436
61,0.8026315789473684,280.28074706835986,249.06338842015947,177.3644201552873,38.941732807199685,-19.425791594880295,21.623695845845752
62,0.8157894736842105,280.73027717622955,248.71894061900792,177.81395026315698,38.941732807199685,-21.949147442029993,22.093814198527525
63,0.8289473684210525,281.04300507842333,248.4894257086878,178.12667816535077,38.941732807199685,-24.210776660771373,22.269126320752306
64,0.8421052631578947,281.2123576261546,248.3741141487626,178.29603071308202,38.941732807199685,-26.201463972359885,22.137704668893573
65,0.8552631578947368,281.2340111714672,248.3713560090959,178.31768425839465,38.941732807199685,-27.917969855495425,21.69381966093315
66,0.8684210526315789,281.10600748413907,248.47865873260372,178.1896805710665,38.941732807199685,-29.362770111979405,20.938139058682633
67,0.881578947368421,280.82881650904136,248.69277266633617,177.9124895959688,38.941732807199685,-30.54365158064786,19.877619678640155
68,0.894736842105263,280.4053441882837,249.00978190800572,177.48901727521115,38.941732807199685,-31.47317732781268,18.525105295782186
69,0.9078947368421052,279.84088499377646,249.42519797484445,176.9245580807039,38.941732807199685,-32.168038104774254,16.898661862527746
70,0.9210526315789473,279.14302024777913,249.93405382955558,176.22669333470657,38.941732807199685,-32.64830985225182,15.02069629179157
71,0.9342105263157894,278.3214647130284,250.53099589263152,175.4051377999558,38.941732807199685,-32.936639467047854,12.916917136915531
72,0.9473684210526315,277.38786527236596,251.21037182816536,174.4715383592934,38.941732807199685,-33.05738286235307,10.615203823220527
73,0.9605263157894737,276.35555675441145,251.96631210646473,173.43922984133889,38.941732807199685,-33.0357205012349,8.14445516278673
74,0.9736842105263157,275.2392810634867,252.79280361471106,172.32295415041415,38.941732807199685,-32.8967760327611,5.533487497575598
75,0.9868421052631579,274.0548767091135,253.6837538986039,171.13854979604093,38.941732807199685,-32.66476340074411,2.8100480253346936
