formal_evaluation,best_score_mm
1,42.094873295012405
17898,42.07294885172402
17971,42.05669043323769
19113,42.044306086525125
29931,42.041079531024984
29975,42.035975406294234
29980,42.02715604987169
30004,42.021688917475224
30157,41.99811285371494
30517,41.9605766985617
49816,41.956103973694034
49830,41.95078262998535
49890,41.936168270207496
50687,41.935860495367834
59195,41.92283301692853
60854,41.91812156716993
68864,41.914950981517265
79697,41.903781253402826
90248,41.87223731590533
90321,41.85655550907032
90447,41.83747917607255
90538,41.83735360012351
90604,41.82676542183422
90833,41.80234894262584
98403,41.79585850519854
112096,41.79320582402776
152181,41.76089620995731
152254,41.75578108849356
153546,41.7521411663351
153787,41.74660305540971
157120,41.713795120276664
161151,41.7015601772574
214780,41.668813486662046
214807,41.644897594786954
217088,41.644037757167844
217106,41.63971216707184
337823,41.627819689406245
337830,41.62539552020065
449300,41.61926256087776
449447,41.55725035944217
451579,41.55456745123956
452550,41.54921612789163
455319,41.5189097378295
455577,41.50006411701792
459939,41.492175294508506
540841,41.471408943324384
540893,41.45052889410654
541126,41.44143762865556
541133,41.416848591097875
545997,41.41447356350472
546084,41.399471155827364
546594,41.38567345092115
546778,41.36885979331844
574558,41.36876140099513
617178,41.34353492960398
617251,41.340100540324556
617413,41.33953965036846
715661,41.32907797268011
715668,41.327263191166736
715896,41.32437281538916
715902,41.31951465532214
720758,41.31725203170905
720920,41.28898739830534
730851,41.26201511360913
751500,41.22852604870655
751524,41.19263231167165
752932,41.16074906264038
753624,41.14716787909829
794242,41.12388658141388
794265,41.10659207808905
794315,41.09688040886655
795074,41.08309720444461
801029,41.07052903091909
825266,41.04107836138856
866347,41.02650134362031
866354,41.02583257835111
866358,41.02298111230556
866382,41.02295934303255
866408,41.003780681925754
866424,41.00079664242585
866451,40.98760549249683
866528,40.98494379108471
866636,40.97331297255505
866638,40.96296286571157
866865,40.94870739355996
866879,40.92825827762652
870680,40.896379516747515
940709,40.88149755687506
940732,40.8542621861612
941356,40.84696411324946
941583,40.81064227734576
941618,40.75621945113843
941835,40.502706458644184
1018707,40.47925289682461
1018768,40.460755112587165
1018984,40.41359954789112
1024214,40.3893072671561
1024945,40.356132669759134
1024975,40.35565929358834
1092230,40.31917774826847
1092257,40.318410066991945
1092281,40.31367254918672
1092282,40.299289080005785
1092418,40.29864116610234
1092433,40.273566894258906
1092504,40.27336319286431
1092575,40.27279743599319
1092641,40.25959184079893
1092695,40.254932853111235
1092701,40.24191809905849
1092729,40.234754697530846
1092796,40.227151510670815
1092867,40.22712732422466
1092938,40.22709208275766
1093009,40.22708634177055
1093151,40.22699846107396
1093222,40.226453559889194
1093293,40.225852079999335
1093364,40.22531629997167
1093435,40.225208932185545
1093506,40.22472126514165
1093577,40.22453981822529
1093648,40.224382542039976
1093719,40.224264825161214
1093790,40.223783706398386
1093861,40.22359301303916
1093932,40.22344563606133
1094601,40.22314908011527
1094637,40.190494551947886
1094657,40.1861158103823
1096168,40.18043036426257
1097206,40.169454253493356
1097625,40.13827571138253
1098755,40.13694959544627
1098780,40.125148938858885
1099075,40.12309515096978
1099112,40.103443107446125
1105309,40.083643881723724
1106153,40.070552355471186
1159780,40.039728123146816
1159832,40.02788400707624
1159971,40.022515149868475
1160042,40.02168966376932
1160111,40.016857123248954
1160182,40.01679013596551
1160253,40.0166422896156
1160324,40.01649302510882
1160395,40.01648300210812
1160466,40.01637138819271
1160537,40.0162492980287
1160679,40.016046516406334
1160750,40.01597789407317
1160821,40.01591293666012
1160892,40.0158398395399
1160963,40.015834511735264
1161105,40.01575504961203
1161247,40.015663324980856
1161389,40.01557698938377
1161460,40.015563513159435
1161531,40.01496366485827
1161602,40.01485217507067
1161673,40.01443031194324
1161744,40.014353895381056
1161815,40.01398088359019
1161886,40.01383262818049
1161952,40.01346776405089
1162023,40.01331957074592
1162094,40.01317349777491
1162165,40.013130506835445
1162236,40.01311544527044
1162307,40.01263432486364
1162378,40.012553372058804
1162449,40.012534926756224
1162520,40.01207300606193
1162591,40.011914585190226
1162662,40.01157465163236
1162730,40.011153298011216
1162801,40.01107717250832
1162872,40.010910708722704
1162943,40.01089279907999
1163014,40.01045432545706
1163085,40.010233159830804
1163153,40.00934330680653
1163224,40.00923560846193
1163295,40.00917993861059
1163366,40.00895578908834
1163437,40.008711146131674
1163508,40.008424280553314
1163579,40.00831209525777
1163735,40.003134164405175
1163958,39.991720311117355
1163976,39.9775071783232
1163978,39.95061782974505
1167275,39.928610609565894
1168358,39.923267891012046
1168714,39.917309159051804
1168784,39.87416651907648
1169450,39.87022326405138
1175857,39.837410021251245
1232221,39.822540084030095
1232248,39.81439126468722
1232273,39.79091258195738
1232302,39.76925077870161
1232316,39.757203583307486
1232486,39.74295225654513
1232498,39.73236040863153
1232566,39.72341850106793
1232631,39.70583968420323
1232702,39.70481302229477
1233403,39.69377642975751
1233545,39.69008740292875
1233963,39.68958303853583
1234527,39.689339731711044
1234537,39.689166908194714
1234598,39.68899760420537
1234608,39.68869300345572
1234669,39.688583409816246
1234679,39.68826711864195
1234740,39.68817906560302
1234750,39.68785197641943
