display_label,campaign_group,candidate,rod,seed,budget_minutes,status,exit_code,run_id,best_evaluation,best_stage,best_round,best_region_id,total_formal_evaluations,score_mm,p64_bottleneck_mm,stutter_penalty_mm,tip_rmse_mm,wrist_rmse_mm,combined_rmse_mm,tip_raw_cycle_c1_seam_ratio,wrist_raw_cycle_c1_seam_ratio,both_below_25_mm
L2 30 min,screen,01_L2,L2,20260879,30,completed,0,20260811T070126Z_cbbdfcd443,74162,split_probe,3,11,119040,44.59945837794092,44.27902506132664,0.3204333166142761,43.46761213546361,44.645143085160015,44.06031153914776,0.11864694313970238,0.20103514158574956,False
L5 30 min,screen,02_L5,L5,20260880,30,completed,0,20260811T073144Z_5b26940332,76098,split_probe,3,8,88448,44.37279409285584,44.0504063808831,0.32238771197274063,42.912324842768726,44.4617337937724,43.69389771672692,0.11534490135475373,0.19521559724369236,False
L6 30 min,screen,03_L6,L6,20260881,30,completed,0,20260811T080159Z_ab04ece107,85564,split_probe,3,8,97536,44.02951170205037,43.710743151045726,0.31876855100464174,43.16132581114813,44.01327674045523,43.58938273942395,0.1234288367178859,0.19711840268583394,False
L12 30 min,screen,04_L12,L12,20260883,30,completed,0,20260811T083213Z_9aeb767ef4,74588,split_probe,3,10,94208,44.522718783305656,44.20525170745,0.31746707585565087,43.98120925769039,44.374793690129366,44.17843978011387,0.12376479270500552,0.19482578777054266,False
L7 30 min,screen,05_L7,L7,20260882,30,completed,0,20260811T090223Z_4140a6f5d6,127904,split_probe,4,15,130432,44.00567150327078,43.68053752159673,0.32513398167404634,43.56810258026338,43.777257040322546,43.672805018791856,0.12218333748856373,0.21166330660873356,False
L6 deep 2 h,deep_parent,01_SELECTED_L6,L6,20260884,120,completed,0,20260811T093236Z_724fc03ea4,714677,cmaes,11,116,715008,42.09487329501249,41.782793936652745,0.3120793583597478,41.380106279107,42.03146620229001,41.707057836680576,0.11704313911781919,0.19223838722872005,False
L6 fresh +3 h,deep_extension,02_EXTENSION_L6_3H,L6,20260885,180,completed,0,20260811T113325Z_bc13037c5f,1234750,slsqp,17,207,1296640,39.687851976419395,39.38175453034171,0.30609744607768885,39.03694542943551,39.60263562887867,39.32080783258691,0.10194826743316011,0.18592849413828902,False
